date,description,merchant,amount
2026-03-15,Performance Bonus,ACME Corp,600.00
2026-03-18,Consulting Payment,Business Consulting,1200.00
2026-03-20,Online Sale,Marketplace Platform,285.00
2026-03-22,Stock Dividend,StockBroker Inc,110.25
2026-03-25,Monthly Salary Payment,ACME Corp,3500.00
2026-03-28,Commission Payment,ACME Corp,450.00
2026-03-30,Interest Income,Savings Account,38.75
2026-04-02,Monthly Salary Payment,ACME Corp,3500.00
2026-04-05,Quarterly Commission,ACME Corp,1200.00
2026-04-08,Freelance Project,Client Corp,950.00
2026-04-10,Investment Return,Investment Fund,195.00
2026-04-12,Referral Bonus,Referral Program,200.00
2026-04-15,Performance Incentive,ACME Corp,350.00
2026-04-18,Online Course Revenue,Education Platform,150.00
2026-04-20,Photography Assignment,Photo Studio,575.00
2026-04-22,Stock Dividend,StockBroker Inc,102.50
2026-04-25,Monthly Salary Payment,ACME Corp,3500.00
2026-04-28,Bonus Payment,ACME Corp,500.00
2026-04-30,Interest Payment,Bank Account,42.30
